"Miltal","Modellår","Biltyp","Drivning","Hästkrafter","Färg","Märke","Modell","Län","Pris..Y."
3940,2020,"halvkombi",2,170,"vit","bmw","i3","jönköping",219900
12220,2020,"suv",2,286,"vit","bmw","ix3","jönköping",439900
3865,2022,"suv",4,327,"svart","bmw","ix","kalmar",649800
6500,2022,"suv",4,327,"vit","bmw","ix","kalmar",629800
3555,2018,"halvkombi",2,170,"röd","bmw","i3","västmanland",208900
5918,2021,"halvkombi",2,184,"vit","bmw","i3s","stockholm",234900
2696,2021,"halvkombi",2,184,"vit","bmw","i3s","kalmar",369900
2231,2021,"halvkombi",2,184,"grå","bmw","i3s","västra götaland",329900
2082,2021,"halvkombi",2,184,"vit","bmw","i3s","kalmar",289800
4545,2022,"suv",4,327,"grå","bmw","ix","blekinge",697000
2651,2022,"halvkombi",2,170,"svart","bmw","i3","östergötland",288900
775,2024,"halvkombi",2,340,"grön","bmw","i4","västra götaland",678900
